%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other.1,Other.2,Other.3,Other.4,Other.5,Other.6,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other.7,Timestamp (Formatted),Annotations
1,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T0
2,2.695,10.34,22.75,-9.427,25.26,28.59,14.49,14.6,21.21,-2.027,-7.462,-8.273,7.467,6.806,-8.681,-7.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,1.439,-4.742,0.0388,-16.64,7.057,4.486,-3.141,-2.484,13.49,6.058,-19.13,-10.34,-10.38,-6.918,-33.25,-22.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,9.937,1.006,-10.33,7.771,-3.797,-12.06,-19.84,-17.2,-6.065,2.668,-15.28,-17.77,-23.36,-17.69,-34.68,-28.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,14.4,19.96,-9.463,45.07,14.81,23.68,-26.07,9.809,-0.0676,1.686,-2.866,-11.55,-10.13,2.395,-12.74,-11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,-0.5667,20.04,-29.13,44.56,20.72,48.53,-34.98,29.73,25.75,20.34,-7.78,5.244,0.7616,19.49,-15.42,-2.631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,1.401,39.8,-22.36,22.5,8.477,26.29,-31.6,4.85,28.35,23.0,-29.45,0.1451,-11.51,2.87,-39.68,-16.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,37.27,64.45,10.9,27.66,10.73,14.59,-16.8,-12.53,11.13,7.208,-42.17,-10.81,-20.35,-8.127,-48.62,-23.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,48.13,37.19,5.745,42.35,22.15,33.91,-13.86,3.74,13.46,10.61,-28.49,-10.18,-8.18,0.6034,-43.06,-18.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,13.28,12.13,-25.98,28.57,9.081,37.48,-27.08,23.25,20.62,18.17,-12.71,-10.1,-2.306,-0.6242,-37.53,-10.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,2.526,38.49,-22.8,21.28,-5.82,30.7,-34.48,26.84,17.84,15.2,-19.06,-6.316,-8.602,3.372,-30.64,5.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,30.17,55.04,13.39,46.38,12.44,45.92,-19.54,19.7,36.82,28.44,-23.45,-1.976,-5.922,18.74,-26.05,12.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,31.81,29.98,30.23,47.33,19.68,48.56,-6.048,19.15,51.99,38.91,-13.98,-3.096,-2.02,15.13,-23.11,16.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,7.186,5.981,12.03,22.76,-3.459,24.33,-10.12,28.24,30.16,24.4,-12.73,-0.2469,-2.047,9.94,-12.64,36.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
