%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other.1,Other.2,Other.3,Other.4,Other.5,Other.6,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other.7,Timestamp (Formatted),Annotations
1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T0
2,-22.56,-69.14,-12.15,-16.75,-15.79,-17.42,-0.8002,-5.319,-17.06,-11.04,-43.59,-26.5,-28.41,-15.33,-47.2,-41.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,-20.6,-51.01,-8.988,-8.369,-3.833,-16.85,-7.347,-3.195,-25.21,-2.672,-53.0,-32.77,-25.58,-3.104,-64.34,-53.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,-26.56,-44.3,-22.39,-10.12,-3.653,-11.26,-22.82,-16.36,-22.67,3.443,-55.2,-42.77,-31.95,-1.654,-66.64,-50.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,-23.18,-54.06,-39.13,4.279,-18.36,1.163,-32.87,-14.39,-37.09,6.25,-57.65,-45.35,-39.93,-7.096,-64.41,-45.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,1.259,-18.2,-31.22,30.19,-16.29,13.57,-37.13,-2.519,-51.92,20.93,-55.01,-36.72,-29.63,-1.941,-58.08,-50.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,-0.5792,-6.436,-36.17,5.709,-18.31,0.2791,-40.92,-12.39,-42.42,19.89,-57.83,-44.28,-33.61,-4.648,-54.83,-62.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,-22.69,-35.85,-52.19,-18.78,-33.75,-15.41,-32.45,-0.1118,-40.01,-2.384,-60.49,-47.47,-47.52,-8.871,-52.13,-60.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,-31.11,-42.5,-34.76,-1.921,-37.14,-8.598,-27.12,15.21,-41.79,-7.631,-64.95,-35.78,-53.99,-15.69,-50.98,-56.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,-38.28,-52.67,-27.54,-9.774,-48.38,-13.07,-46.65,-22.96,-42.18,-13.13,-81.84,-42.28,-73.31,-37.61,-62.46,-71.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,-49.48,-77.92,-58.6,-33.2,-78.39,-33.77,-64.91,-52.63,-73.09,-45.58,-101.7,-58.82,-93.0,-47.08,-81.97,-77.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,-45.44,-68.86,-57.16,-21.68,-82.57,-34.63,-56.1,-41.13,-92.09,-63.3,-106.2,-62.79,-79.58,-34.21,-81.87,-62.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,-25.0,-46.6,-21.48,-13.66,-58.81,-22.87,-31.82,-35.19,-59.31,-50.41,-89.42,-64.35,-51.4,-23.56,-58.22,-52.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,-9.029,-40.91,-9.442,-17.78,-43.4,-13.76,-7.551,-25.68,-33.29,-37.28,-72.54,-58.08,-41.28,-13.71,-48.35,-56.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,-5.276,-21.01,-11.59,7.104,-36.56,2.813,4.521,-8.008,-34.72,-27.91,-72.15,-36.12,-41.3,0.2972,-52.25,-55.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,-0.4727,0.7628,-17.75,18.87,-32.43,12.84,-4.085,-6.467,-31.36,-20.99,-73.53,-26.51,-38.16,0.3904,-35.45,-47.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,5.287,-18.86,-20.42,-15.13,-28.63,10.54,-4.152,2.447,-23.97,-19.31,-61.22,-29.16,-28.29,-2.296,-8.459,-30.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,5.0,-50.23,7.045,-21.82,-17.64,18.27,29.12,22.14,-4.675,-12.0,-31.75,-8.304,-1.915,21.89,10.31,2.593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,4.421,-49.45,17.24,7.038,-20.11,23.25,42.1,15.8,25.45,-2.148,-11.45,11.63,10.62,43.56,13.34,22.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,1.814,-36.77,-17.37,-2.549,-42.43,10.43,6.944,-5.773,21.87,-4.034,-33.17,-6.586,-22.4,25.76,-17.5,2.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,-7.797,-37.74,-30.01,-28.1,-54.82,1.109,-9.603,-13.66,-9.887,-22.16,-66.75,-25.42,-54.0,-0.6436,-53.45,-25.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,-16.34,-47.51,-19.04,-23.98,-55.48,-3.215,0.1208,-17.35,-18.94,-43.46,-75.67,-26.82,-56.99,-11.71,-58.96,-39.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,-15.84,-51.76,-20.46,-23.09,-52.55,-5.891,-10.14,-26.34,-14.82,-47.52,-77.33,-38.88,-64.55,-16.83,-64.07,-53.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,-11.79,-33.36,-10.93,-22.99,-40.69,4.746,-15.77,-32.56,-25.53,-43.89,-80.8,-50.39,-73.35,-13.45,-79.5,-60.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,-14.04,-15.37,0.3148,1.811,-35.33,12.19,-8.234,-35.15,-29.46,-48.32,-71.84,-44.89,-67.79,-9.158,-68.86,-49.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,-18.16,-41.4,-8.799,13.16,-41.55,4.957,-21.95,-41.94,-20.87,-50.67,-55.3,-37.93,-60.69,-9.22,-39.97,-40.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,-21.52,-70.53,-15.9,-9.957,-46.69,-1.706,-43.01,-54.26,-26.9,-50.57,-54.13,-42.83,-61.86,-7.181,-38.33,-45.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,-36.02,-50.2,-16.63,-29.52,-53.39,-4.742,-48.25,-54.94,-39.2,-48.9,-62.23,-51.89,-66.38,-13.05,-54.54,-50.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,-52.96,-33.59,-12.82,-23.11,-54.03,-1.336,-34.81,-39.33,-34.38,-39.81,-48.43,-42.56,-55.23,-17.08,-41.71,-40.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,-49.39,-52.9,3.112,-14.02,-43.52,3.959,-10.68,-38.35,-27.5,-39.75,-29.75,-28.19,-39.91,-7.856,-18.36,-27.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,-29.44,-57.1,22.72,-28.52,-37.56,-6.898,-1.49,-52.05,-34.47,-47.19,-27.1,-36.05,-44.55,-8.034,-23.34,-20.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,-13.89,-43.67,40.41,-45.35,-29.98,-14.64,-6.541,-49.85,-34.89,-41.12,-17.4,-38.85,-41.09,-11.82,-31.02,-12.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,-10.64,-41.06,47.3,-29.18,-16.2,0.6237,-17.33,-45.79,-18.37,-32.45,-17.63,-28.05,-30.22,-4.605,-31.9,-17.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,-11.85,-37.95,45.36,-1.482,-16.15,10.02,-37.55,-48.73,-13.76,-28.54,-38.42,-33.05,-43.86,-8.053,-43.71,-27.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,-15.15,-34.49,51.81,-2.185,-22.78,1.388,-39.77,-41.74,-28.08,-18.33,-33.76,-33.41,-44.42,-14.39,-35.44,-20.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,-24.49,-35.44,53.99,-19.11,-19.26,-3.516,-26.51,-43.66,-24.58,-4.476,-16.1,-15.77,-19.97,-3.7,-9.155,-10.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
