%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other,Other,Other,Other,Other,Other,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other,Timestamp (Formatted),Annotations
1,-0,0,0,0,0,0,0,0,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T0
2,-5.631,4.932,-4.873,15.38,-5.035,1.747,2.405,-16.21,-9.896,-5.854,-1.56,-3.737,0.2897,0.261,0.3135,5.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,-14.21,3.09,-28.09,-14.97,-20.81,-1.105,0.1616,-44.12,-9.077,7.267,-9.163,-14.65,-5.515,-3.335,-7.834,-2.748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,-23.69,-3.256,-25.7,-19.42,-29.82,-9.081,-13.76,-28.51,-4.728,0.5859,-14.3,-22.8,-13.24,-9.92,-10.42,-10.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,-27.25,-6.543,-9.617,-12.74,-29.71,-15.22,-14.5,-11.06,-6.001,-22.27,-10.34,-20.57,-16.52,-11.67,-6.721,-11.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,-20.79,-5.031,-23.99,-43.41,-25.15,-4.983,6.407,-26.2,-4.021,-13.7,-4.114,-16.36,-18.32,-10.32,-7.402,-12.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,-17.76,-9.245,-27.45,-36.21,-16.53,4.333,2.41,-16.68,0.823,5.948,-6.531,-20.24,-24.98,-14.7,-12.02,-18.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,-29.85,-17.89,-5.538,2.156,-23.12,-7.526,-19.16,-10.43,-3.786,-5.943,-13.73,-27.12,-28.5,-16.42,-13.74,-18.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,-40.79,-15.26,-10.28,-13.7,-40.21,-14.52,-7.392,-33.91,-10.03,-21.08,-13.46,-27.75,-22.27,-9.142,-10.34,-11.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,-41.91,-14.22,-20.57,-28.29,-39.08,-13,1.706,-30.27,-15.34,-13.04,-13.41,-28.52,-21.33,-6.978,-13.18,-9.847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,-44.99,-29.14,-10.97,-10.86,-32.67,-20.43,-18.62,-19.5,-25.89,-11.35,-20.68,-31.51,-26.89,-9.191,-22.28,-13.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,-44.31,-34.25,-13.29,-20.18,-38.57,-24.1,-19.94,-25.17,-20.68,-18.47,-19.39,-25.22,-22.9,-3.7,-20.09,-8.472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,-35.57,-24.13,-16.62,-23.42,-43.23,-25.44,-14.3,-17.95,2.667,-8.85,-9.192,-15.12,-17.83,-0.5113,-12.9,-7.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,-31.68,-22.39,-14.7,-12.24,-41.3,-19.5,-25.57,-29.27,10.3,-8.522,-4.867,-11.16,-17.34,-3.799,-12.33,-10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,-28.13,-18.71,-23.09,-34.35,-32.2,-1.43,-13.13,-53.17,-0.6565,-35.9,-1.999,-4.746,-6.256,-0.2659,-7.417,-1.618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,-18.39,-2.103,-23.23,-48.26,-32.41,-16.46,13.06,-40.82,-10.43,-37.9,3.018,4.059,7.779,5.695,1.157,5.917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,-12.07,7.383,-29.63,-37.15,-59.64,-38.15,13.08,-31.89,-11.63,-0.1987,4.156,7.026,11.8,5.199,3.633,2.843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,-10.08,7.29,-38.68,-33.64,-62.73,-1.444,2.524,-38.41,0.7096,11.69,3.519,8.011,14.81,5.993,2.471,1.982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,-11.89,11.05,-7.108,-20.22,-26.68,20.49,-5.294,-13.05,10.57,-14.33,0.8634,6.589,16.68,8.653,-0.9496,-0.1224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
