%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other,Other,Other,Other,Other,Other,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other,Timestamp (Formatted),Annotations
1,0,0,0,0,-0,-0,-0,-0,-0,0,-0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T0
2,-11.76,-4.374,103.7,114.4,-4.795,-69.24,-8.405,34.49,0.2165,0.0839,-0.4561,-1.529,-4.156,5.593,-13.13,-5.771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,-47.82,-25.11,118.8,135.7,-34.12,-108,10.73,-77.84,-8.69,18.41,-11.13,-22.94,-14.76,2.428,-27.89,-17.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,-76.21,-31.47,95.51,23.21,-36.54,-103.3,61.35,-149.6,-5.961,11.07,-1.293,-32.18,-7.389,18.25,-19.07,-10.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,-55.5,-18.44,50.03,-74.9,-26.05,-51.42,78.05,-37.9,9.592,-5.338,33.45,-12.13,8.329,40,9.899,11.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,-13.82,-19.25,-35.3,-4.587,-29.19,-0.3623,23.52,82.23,22.18,4.76,51.27,7.273,14.02,32.95,19.11,25.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,-4.001,-20.7,-43.67,103.4,-21.63,-17.52,-18.43,36.74,21.59,10.66,34.55,8.762,22.82,22.78,6.219,28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,-23.49,-0.7827,72.23,79.74,1.196,-76.4,7.979,-65.29,-6.483,7.166,17.4,2.969,22.42,24.31,5.966,24.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,-46.8,-4.925,147.8,27.13,15.19,-103.1,27.01,-48.71,-32.24,5.097,24.45,-7.111,-6.822,5.807,12.07,8.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,-65.98,-50.21,113.4,53.25,-27.37,-97.99,-5.938,7.98,-10.17,-4.388,29.05,-23.12,-36.94,-13.78,-7.875,-12.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,-80.72,-77.82,68.93,67.34,-78.12,-109.9,-35.13,-31.04,9.476,-0.8506,11.37,-40.15,-47.84,-6.313,-40.36,-25.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,-98.19,-79.75,61.97,34.1,-36.22,-141.2,-46.28,-60.18,-22.3,-2.866,-6.777,-59.12,-56.97,-4.788,-55.4,-26.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,-113.1,-94.02,64.93,49.29,-5.703,-137.5,-67.8,5.891,-44.62,-37.28,-9.733,-74.84,-64.09,-12.84,-54.31,-21.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,-106.1,-96.28,33.63,97.66,-66.51,-97.21,-71.88,8.295,-37.36,-41.31,-7.27,-76.97,-58.05,-9.714,-50.62,-23.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,-91.05,-67.55,-30.19,50.8,-84.32,-102.2,-28.05,-116.9,-53.45,-12.12,-14.6,-77.72,-51.01,-15.74,-56.84,-39.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,-94.45,-50.74,-41.81,-52.66,-64.24,-145.4,37.97,-146,-65.53,-23.09,-24.96,-81.46,-47.2,-26.31,-64.26,-47.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,-101.4,-54.58,21.62,-35.8,-81.12,-127.5,66.35,21.83,-33.82,-43.94,-16.73,-69.57,-42.93,-21.83,-49.71,-39.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,-95.3,-58.92,72.34,77.72,-59.41,-76.25,4.39,103.8,-22.32,-17.31,-12.17,-57.59,-50.14,-19.4,-36.25,-36.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,-99.09,-76.35,66,103.8,-43.85,-96.01,-80.88,-72.7,-67.88,20.76,-41.58,-75.86,-61.61,-14.61,-52.37,-39.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,-131.8,-98.33,40.03,22.11,-101.6,-164.1,-63.82,-208.6,-106.3,9.661,-64.55,-101.8,-57.09,2.252,-63.59,-31.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,-162.9,-99.66,36.16,-26.19,-99.35,-188.2,-18.19,-77.2,-102.9,-45.59,-51.12,-101.4,-45.79,6.317,-50.1,-11.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,-151.2,-95.49,49.78,35.37,-36.67,-156,-71.65,84.33,-81.7,-56.98,-38.58,-84.23,-36.57,-0.7015,-41.38,5.311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,-112.2,-86.33,31.01,101.3,-42.31,-128.7,-99.47,60.61,-50.71,-0.8547,-37.34,-69.25,-21.4,5.965,-41.45,7.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,-92.91,-56.94,-7.182,54.48,-61.02,-136.6,-10.49,-21.5,-35.74,21.36,-31.9,-64.12,-11.79,18.25,-42.61,0.4741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,-101.1,-47.05,17.27,6.966,-40.55,-147.8,25.6,-31.64,-63.98,-8.961,-35.71,-74.71,-22.57,14.67,-50.67,-2.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,-114.8,-76.11,54.85,58.96,-40.95,-145.3,-34.49,-23.52,-81.05,-21.34,-38.92,-83.9,-38.44,-0.7426,-47.52,0.262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,-120.5,-92.97,6.982,74,-54.87,-135.3,-46.04,-35.57,-64.26,-21.65,-24.96,-75.89,-44.2,-7.783,-30.12,-2.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,-120.1,-83.21,-13.41,15.17,-71.17,-123.5,-14.37,-47.09,-74.82,-14.52,-22.09,-71.68,-42.28,-0.5552,-27.42,-6.284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,-119.1,-71.26,74.92,-9.492,-95.24,-126.8,3.787,-78.27,-93,18.86,-31.8,-74.79,-31.2,9.501,-34.85,-4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,-109.6,-54.47,116,-18.02,-81.35,-119.9,30.7,-108.4,-75.51,23.28,-31.38,-67.22,-18.34,6.244,-37.74,-11.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,-88.94,-42.79,70.21,-4.925,-61.49,-86.76,18.73,-63.91,-78.04,-13.95,-30.6,-57.42,-13.85,-6.529,-35.85,-21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,-73.18,-50.89,47.55,93.58,-86.55,-86.58,-44.07,31.4,-102,-25.05,-21.68,-45.5,-7.169,-1.28,-20.33,-6.865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,-65.28,-62.41,30.45,168.9,-91.15,-105,-57.93,70.25,-81.92,-13.29,-4.01,-33.41,-6.676,13.4,-15.14,-2.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,-68.86,-64.68,4.268,85.1,-65.32,-90.67,-9.784,-4.715,-40.11,-12.42,-10.75,-45.59,-21.3,10.13,-35.3,-27.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,-90.28,-52.32,6.39,-67.11,-66.58,-105.3,23.9,-76.72,-31.35,-10.12,-20.96,-58.67,-21.77,8.103,-39.41,-25.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,-99.56,-40.17,7.801,-59.95,-57.75,-154.8,-5.919,-11.52,-55.12,-3.058,-15.19,-49.06,-14.22,12.35,-35.42,-4.748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,-91.09,-48.71,41.17,99.47,-35.23,-156.6,-55.6,-10.58,-74.55,14.63,-30.1,-54.88,-18.11,3.518,-50.61,-11.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,-99.16,-39.9,109.4,105.7,-67.1,-120.5,-13,-164.9,-59.56,26.58,-48.91,-72.11,-5.09,-0.9897,-46.28,-10.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,-93.96,-15.01,83.47,-34.26,-104.8,-73.69,56.64,-87.11,-40.63,-7.779,-38.97,-62.49,8.992,1.272,-27.01,3.523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,-53.94,-38.59,12.43,5.218,-85.73,-30.3,10.48,139.6,-46.83,-33.3,-30.43,-50.42,-10.14,-4.764,-36.73,-8.674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,-49.19,-65.65,44.45,112.1,-61.63,-47.68,-21.06,41.52,-46.68,-9.771,-33.99,-57.97,-27.12,-5.626,-54.22,-27.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,-79.13,-43.91,92.74,75.46,-35.69,-94.1,34.86,-84.33,-41.09,-7.322,-31.36,-58.24,-30.55,-7.956,-54.68,-31.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43,-71.14,-43.34,64.95,101.7,0.7877,-94.94,-0.5802,26.87,-53.45,-2.994,-22.02,-44.93,-41.4,-21.17,-47.79,-31.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44,-47.85,-55.25,35.77,123.8,-30.54,-72.01,-41.44,-49.6,-48.74,51.42,-7.334,-34.48,-36.02,-16.91,-36.45,-22.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,-42.36,-14.06,52.43,-57.71,-72.27,-47.91,70.73,-185.5,-15.22,64.09,1.486,-24.65,-9.819,6.239,-28.19,-13.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
46,-34.96,12.17,124.2,-69.16,-4.848,-47.37,99.58,15.55,-5.188,20.13,-11.98,-22.09,-1.845,15.62,-37.81,-25.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
47,-48.13,-27.82,207.6,195.1,57.05,-93.49,-28.08,179,-24.24,9.51,-34.01,-39.75,-19.75,7.77,-59.21,-43.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
48,-66.42,-61.01,185.6,245.3,13.7,-90.63,-48.39,72.8,-22.25,18.03,-31.29,-43.03,-28.25,8.892,-59.69,-41.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,-31.25,-49.61,95.71,88.03,-25.51,-23.1,4.893,6.197,-5.051,11,-7.217,-15.12,-12.82,26.03,-36.86,-24.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,3.95,-24.66,77.41,57.87,-12.16,-15.5,-3.459,-0.9288,-11.78,22.67,-3.308,-8.102,-3.515,34.84,-30.06,-17.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,-8.989,0.0967,92.02,59.1,16.65,-19.77,48.84,-44.74,-16.21,52.49,-4.126,-17.37,-0.4345,31.34,-21.26,-9.447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
52,-8.331,19.06,56.63,7.841,26.72,29.11,112,-10.7,-0.5545,61.34,33.09,7.879,28.09,41.83,20.09,18.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
53,8.179,15.79,28.7,41.83,-25.47,3.982,36.03,46.72,-7.16,42.79,57.99,32.24,59.17,62.79,34.74,40.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
54,1.139,0.3209,56.32,135.4,-67.39,-64.92,-37.51,22.4,-21.73,23.03,28.5,19.72,57.2,63.02,-1.722,32.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
55,-10.5,-9.876,98.09,151.8,-35.02,-55.79,-25.03,-1.684,-9.534,21.76,-6.34,-3.95,32.8,39.61,-35.89,7.761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
56,-43.3,-24.35,110.2,27.53,-9.116,-68.73,-9.996,-38.9,-12.93,31.86,-27.36,-38.6,1.222,16.35,-59.8,-21.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
57,-94.96,-36.52,88.97,-105.3,2.44,-100.2,51.75,-98.34,-30.59,30.55,-37.49,-67.6,-25.22,-0.3211,-73.88,-44.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
58,-79.85,-37.46,64.5,-22.54,-0.4801,-19.43,120.9,-22.19,-9.966,10.13,-17.47,-49.07,-36.45,-20.64,-54.41,-46.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
59,-20.3,-44.92,72.44,153.5,-64.52,29.84,63.78,105.5,5.924,-6.404,-0.2021,-22.62,-39.06,-36.5,-29.9,-35.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
60,-25.27,-47.4,130.3,180.1,-69.41,-65.52,-37.43,97.28,-28.76,-8.81,-17.64,-41.54,-39.83,-38.06,-32.85,-30.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
61,-81.72,-45.55,201.1,178.4,13.09,-139.8,-95.87,55.44,-61.51,-7.665,-44.02,-80.34,-48.95,-39.89,-47.45,-36.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
62,-133.1,-69.9,183,184.4,17.48,-153.1,-114.8,-8.906,-68.37,9.664,-73.47,-111.7,-66.21,-48.07,-64.07,-46.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63,-163.4,-76.9,69.88,10.78,-33.03,-156,-7.547,-141.4,-69.88,29.26,-99.87,-125.7,-63.96,-49.57,-76.83,-47.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
