%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other,Other,Other,Other,Other,Other,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other,Timestamp (Formatted),Annotations
1,0,0,0,0,-0,0,0,-0,-0,0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T0
2,40.04,15.04,5.017,-18.01,26.57,32.71,12.16,26.45,-14.85,53.3,-3.398,-13.34,-9.237,-13.7,-32.17,1.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,42.35,8.067,-6.766,0.8196,-23.32,51.99,3.73,1.938,-17.92,39.67,-18.88,-15.85,-18.72,-26.31,-37.84,-26.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,22.16,-9.205,-12.75,19.47,-25.25,24.89,-13.12,-13.98,9.926,-26.49,-23.1,-20.09,-21.97,-18.54,-41.54,-35.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,2.712,-14.27,-10.72,9.673,-0.5614,-9.35,-22.22,-17.13,6.225,-23.17,-22.28,-35.19,-19.26,-8.059,-44.36,-17.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,-0.479,-15.41,-28.79,-10.63,-53.9,12.56,-18.11,-20.28,-35.96,39.82,-34.65,-39.97,-15.56,-11.13,-37.65,-14.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,14.66,-15.02,-28.56,-19.7,-60.92,38.66,-8.333,0.8254,-23.18,12.18,-37.31,-27.44,-17.67,-21.97,-44.03,-25.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,20,-0.2603,7.897,-6.629,18.62,17.41,-7.029,9.345,21.11,-51.76,-20.96,-17.64,-21.95,-33.87,-51.92,-30.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,12.01,9.325,-0.7991,1.15,32.05,8.986,-7.958,-5.91,23.92,-5.601,-7.726,-4.956,-10.87,-20.56,-33.51,-23.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,22.74,5.296,-39.38,-23.92,-6.936,25.07,-5.01,-9.552,13.61,59.06,3.702,17.79,6.271,7.662,-10.38,-7.648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,43.98,10.55,-25.54,-32.61,-17.88,17.3,-11.91,-16.92,1.539,47.88,17.9,23.37,6.523,10.58,-3.208,4.856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,37.72,18.87,-8.259,-2.088,-16.29,5,-25.95,-27.38,-8.555,43.9,15.33,9.013,2.231,3.535,-3.693,-5.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,12.75,18.44,-27.35,2.32,-8.186,3.798,-31.17,-23.2,13.04,42.1,3.916,6.403,7.183,0.7992,-2.995,-17.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,10.86,20.56,-25.49,-18.46,-28.34,3.813,-28.05,-27.37,6.512,-4.219,6.33,13.56,9.713,-10.97,7.274,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,26.87,21.64,-10.94,-16.65,-60.67,18.52,-18.85,-31.14,-40.08,-10.36,5.934,6.56,6.58,-15.11,14.97,8.419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,19.46,14.42,-29.35,-28.19,-14.42,24.09,-4.997,-6.487,-18.38,23.82,-4.176,-4.761,3.14,-8.376,-2.324,-18.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,6.16,9.963,-43.38,-50.34,44.98,15.17,1.178,15.2,37.69,10.11,-5.374,-7.407,-3.643,-11.19,-30.23,-34.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,24.28,12.04,-21.19,-17.86,6.834,31.1,-6.305,-2.112,16.51,-0.9818,-8.323,-16.94,-12.73,-12.63,-44.24,-36.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,28.75,9.044,-9.228,19.81,-51.94,31.57,-19.64,-31.54,-19.35,29.04,-22.11,-31.94,-15.41,0.0934,-44.21,-36.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,0.5403,1.679,-18.09,-0.5045,-25.68,-1.521,-25.21,-32.07,-5.055,18.39,-27.22,-29.98,-12.8,4.61,-39.88,-26.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,11.32,7.11,-13.91,-20.2,11.63,7.557,-15.84,-15.85,-6.705,-16.83,-16.99,-17.56,-14.41,-12.72,-39.42,-33.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,43.03,15.54,-17.65,-12.79,-35.28,35.6,-9.234,-13.54,-27.76,14.8,-2.613,-15.03,-14.46,-18.82,-32.89,-47.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
