%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other.1,Other.2,Other.3,Other.4,Other.5,Other.6,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other.7,Timestamp (Formatted),Annotations
1,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T0
2,21.29,-86.47,153.9,-26.88,-4.061,46.42,89.99,-209.2,13.57,31.16,-43.97,-114.1,-27.73,-41.68,-32.68,-54.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,3.423,-47.52,29.82,88.33,-11.95,78.38,55.48,-126.1,-12.48,29.09,14.36,-90.66,15.13,4.507,13.5,2.676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,-53.83,-8.125,-62.44,83.96,-26.64,43.28,108.8,-29.89,4.452,39.86,14.78,-42.8,11.25,22.29,8.886,24.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,-69.61,-16.6,-65.99,-5.448,-49.09,5.571,139.3,-7.081,8.543,42.17,-49.8,-32.82,-30.8,1.426,-28.18,-0.5986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,-35.25,-27.6,-59.18,34.0,-30.28,-13.81,56.55,20.27,0.9484,8.55,-25.2,-53.45,-26.65,-12.78,-23.92,-9.996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,-78.06,-60.36,50.89,17.32,19.03,-64.27,68.95,-48.12,45.43,-10.83,33.42,-88.76,-12.86,-34.94,-28.11,-32.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,-142.7,-64.99,33.94,-66.1,-17.62,-74.95,56.05,-113.0,10.81,-17.39,-2.777,-81.71,-24.66,-37.89,-31.25,-36.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,-83.26,-11.06,-103.9,-8.806,-110.3,-53.18,-32.65,-86.24,-87.78,-52.19,-74.56,-82.25,-58.24,-53.36,-28.98,-32.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,-17.83,12.58,0.3536,-3.523,-109.4,-82.9,39.94,-86.03,-78.7,-76.66,-69.83,-104.7,-77.32,-90.32,-43.49,-51.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
