%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other.1,Other.2,Other.3,Other.4,Other.5,Other.6,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other.7,Timestamp (Formatted),Annotations
1,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T0
2,4.067,-9.051,10.92,1.908,4.343,9.621,11.98,-7.006,3.013,-4.861,7.56,2.543,6.343,0.2641,6.306,5.623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,-11.04,-10.91,8.835,-0.7031,1.945,4.04,14.71,-5.105,6.208,-13.38,14.97,5.715,9.307,2.616,10.56,10.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,-15.9,-21.84,2.657,-10.33,-0.4473,0.0343,14.97,0.261,8.112,-11.25,17.22,7.536,10.29,5.995,9.86,9.074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,-9.822,-32.21,-6.918,-18.74,-1.978,0.8272,8.249,-0.8083,6.165,-5.951,10.29,8.303,8.034,5.65,3.76,4.203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,-13.81,-27.66,-16.28,-16.28,-3.39,0.4382,-5.832,-4.664,3.08,-7.296,-1.288,5.637,2.469,2.073,-4.049,0.3338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,-14.48,-23.91,-13.7,-6.282,-2.121,-0.3667,-9.643,-4.962,0.9452,-7.823,-10.83,-2.908,-4.228,-3.64,-9.915,-5.764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,-11.44,-23.54,-11.21,0.59,-5.073,-11.42,-6.521,-6.104,-4.609,-14.4,-13.83,-8.407,-9.377,-11.36,-10.05,-11.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,-20.15,-17.16,-16.12,-3.522,-13.96,-26.07,-9.749,-12.13,-12.23,-27.45,-9.799,-6.282,-9.5,-14.35,-5.977,-11.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,-27.95,-16.79,-13.45,-10.33,-18.72,-22.06,-8.548,-17.38,-16.2,-30.06,-6.86,-5.878,-8.764,-12.23,-7.02,-9.854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,-27.25,-27.38,-8.23,-3.683,-15.93,-5.066,-3.749,-13.69,-16.41,-24.06,-8.215,-7.911,-10.0,-10.99,-11.32,-10.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,-22.53,-28.89,-12.66,3.483,-9.068,4.835,-12.6,-7.564,-12.01,-17.43,-7.517,-7.682,-7.672,-9.264,-10.31,-8.687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,-11.45,-14.17,-17.76,-3.241,-3.554,1.869,-16.63,-10.9,-3.824,-10.78,-3.846,-9.524,-2.381,-6.883,-6.328,-8.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,-6.101,-3.448,-16.71,-4.835,-2.579,-5.611,3.507,-13.56,2.459,-10.54,2.516,-9.954,3.819,-5.114,0.0978,-4.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,-10.41,-9.583,-10.22,-4.742,-2.882,-7.582,14.16,-7.407,5.135,-15.67,8.989,-4.423,7.823,-3.469,5.909,2.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,-9.709,-20.67,-2.555,-17.66,-5.877,-8.309,-1.334,-6.114,0.7085,-19.97,5.238,-3.598,0.6865,-5.0,0.84,0.3261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,-9.359,-24.04,-2.858,-14.42,-10.88,-10.24,-6.383,-8.724,-10.68,-21.96,-3.684,-6.253,-8.744,-5.422,-6.206,-4.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
