%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other,Other,Other,Other,Other,Other,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other,Timestamp (Formatted),Annotations
1,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T0
2,27.34,25.54,20.63,32.51,-5.13,-12.31,16.05,16.12,12.69,16.67,17.4,19.17,6.072,7.46,-2.14,0.5339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,25.71,21.26,-2.035,11.69,5.215,-10.93,15.11,15.53,17.03,0.1715,38.64,26.16,3.854,-2.851,4.559,0.1446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,36.99,17.21,20.72,39.02,48.96,27.6,9.568,10.25,32.58,4.666,59.48,47.85,15.55,-5.253,19.24,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,67.12,39.96,68.9,51.46,81.83,54.49,18.3,18.49,46.1,16.68,56.09,65.59,27.67,0.6875,27.75,13.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,72.45,50.67,65.45,-5.594,78.02,37.21,21.98,21.22,46.42,8.27,43.94,55.29,18.8,-8.993,26.05,-1.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,59.61,33.31,41.87,8.051,70.34,43.81,11.72,10.41,49.4,0.667,50.89,49.41,14.73,-16.9,28.53,6.191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,59.22,29.04,36.88,73.88,56.22,71.15,12.26,11.04,41.98,-15.45,50.69,54.54,22.63,-6.529,31.44,22.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,60.94,34.27,61.32,72.87,40.3,47.52,19.61,19.58,19.4,-15.88,35.13,43.92,18.28,-3.838,16.09,9.899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,53.93,31.46,99.68,52.63,58.79,27.05,23.16,24.69,11.34,20.73,34.97,28.82,15.61,-9.209,2.773,0.9831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
