%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other,Other,Other,Other,Other,Other,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other,Timestamp (Formatted),Annotations
1,-0,-0,0,-0,0,-0,0,0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T0
2,-41.27,-13.42,-23.39,-11.81,-2.49,-10.64,-4.098,5.071,23.97,8.705,25.81,15.5,26.72,20.42,0.4163,0.8846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,-29.57,-5.402,-31.01,-19.9,-12.4,-24.11,-30.41,-9.739,23.59,-1.021,31.79,3.278,16.33,10.03,7.523,7.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,-26.31,-7.316,-35.79,-27.85,-16.29,-23.79,-40.41,-12.77,21.88,-0.8755,39.22,2.323,13.73,14.04,11.98,10.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,-34.21,-5.226,-26.26,-17.95,-1.178,-13.47,-24.73,4.259,30.95,8.971,38.97,5.737,18.53,20.73,8.155,8.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,-34.26,4.237,-17.25,-1.678,2.883,-14.01,-17.27,14.14,25.61,6.843,22.12,-9.8,10.6,8.151,-0.537,7.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,-39.7,4.6,-23.63,2.332,-5.785,-7.732,-11.78,16.9,10.6,4.404,18.77,-14.99,13.26,6.271,-9.865,6.397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,-30.37,15.29,-17.09,5.508,6.884,9.437,-3.849,15.17,6.91,1.476,20.55,-7.216,15.16,4.313,-15.04,0.4879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,-21.87,20.44,-9.573,1.725,20.43,6.004,-13.17,7.056,12.72,-6.224,19.99,7.371,10.9,0.4575,-9.161,-2.906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,-26.97,11.49,-15.09,-6.281,14.69,-5.753,-21.7,5.989,27.73,0.0342,43.26,37.87,24.79,15.8,9.176,7.432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
