%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other.1,Other.2,Other.3,Other.4,Other.5,Other.6,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other.7,Timestamp (Formatted),Annotations
1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T0
2,-23.97,-5.711,-31.96,-40.16,-41.59,-32.56,49.24,14.43,5.683,-10.31,-39.11,-23.1,-37.43,-31.98,-38.17,-34.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,-58.4,-25.4,5.09,-47.04,-51.81,-19.23,69.94,-11.37,-41.78,-35.79,-29.1,-4.899,-16.58,7.694,-10.57,-3.952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,-44.39,-17.79,-9.288,-45.84,-47.57,8.194,43.43,-43.36,-35.8,43.73,-17.16,-1.545,-0.7456,24.03,-4.009,4.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,-42.42,-15.26,-53.3,-47.78,-51.7,-15.13,17.59,-16.14,-3.192,49.83,-23.36,-17.2,-8.754,-14.1,-24.76,-20.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,-67.17,-22.38,-8.049,-13.8,-27.2,-24.4,24.84,3.706,4.781,-52.39,-18.12,-4.706,4.712,-7.8,-15.68,-13.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,-34.56,1.195,13.21,15.92,2.02,14.54,38.39,-27.68,30.07,1.589,-17.94,9.62,9.748,23.61,-14.62,-8.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,-9.166,5.211,-44.17,-21.07,-27.42,-3.769,61.49,-1.135,17.16,58.6,-26.75,2.432,-10.72,-0.3274,-26.0,-27.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,-48.65,-23.3,-21.51,-50.77,-41.73,-40.87,91.34,55.39,-25.56,-49.41,-12.47,4.249,-3.713,-20.63,-8.248,-27.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,-65.5,-24.37,46.28,-26.29,2.461,0.9213,87.98,31.5,3.916,-48.46,6.907,14.57,23.47,9.151,11.51,-12.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,-30.18,-3.296,23.4,-14.93,14.11,30.8,59.1,1.613,48.21,53.71,4.418,13.46,25.75,22.45,8.548,-13.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,-2.16,8.175,-10.33,-24.03,-10.2,3.108,44.4,6.482,32.55,25.24,-4.814,8.384,12.03,6.503,4.357,-21.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,-20.68,7.485,21.53,-25.93,-9.305,0.4877,60.1,-14.9,7.155,-4.429,-5.081,6.456,5.513,3.821,6.612,-22.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,-47.77,4.108,59.2,-33.58,5.736,15.53,78.79,-17.47,5.569,41.79,4.257,4.421,8.595,5.462,4.626,-18.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,-18.25,5.874,59.26,-32.18,10.39,6.609,61.05,28.38,15.47,14.37,9.368,7.957,9.74,2.884,-1.862,-11.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
