%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other,Other,Other,Other,Other,Other,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other,Timestamp (Formatted),Annotations
1,0,0,-0,-0,-0,-0,0,0,-0,0,-0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T0
2,4.764,4.749,6.748,10.19,2.773,4.467,0.223,-1.073,-2.693,-1.681,-0.0798,0.7648,2.283,1.485,2.353,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,12.95,11.27,10.53,17.09,9.165,12.58,8.611,4.704,8.303,2.037,9.005,10.32,9.809,8.425,11.64,8.592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,19.82,15.49,13,17.29,14.37,16.14,11.98,9.46,14.21,2.109,10.56,13.4,10.02,9.136,12.59,8.478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,20.4,15.38,12.31,14.88,12.48,14.18,8.295,7.559,9.488,-0.1725,8.02,12.22,8.545,9.442,10.91,8.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,19.14,15.45,6.189,12.45,4.457,12.02,6.382,1.404,9.106,0.8014,11.87,14.96,12.71,14.38,14.71,12.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,19.38,16.57,3.679,9.992,-0.0289,10.81,6.27,-1.28,10.96,1.79,12.53,13.71,12.91,12.81,14.01,11.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,19.41,17.17,11.36,12.81,5.712,12.63,8.618,4.695,8.785,0.4882,11.09,12.05,10.84,8.925,12.56,10.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,20.27,17.85,16.16,15.76,11.27,15.04,11.03,7.525,8.457,-3.146,12.87,14.44,10.19,9.107,14.02,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,21.07,15.81,12.35,10.93,10.35,14.43,8.647,1.34,10.8,-4.194,11.68,13.43,7.203,7.182,12.68,8.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,21.07,13.02,14.62,9.513,14.24,16.45,8.236,1.077,12.68,-0.9313,9.861,12.42,6.669,4.048,13.24,8.913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,22.41,15.57,19.25,14.17,19.1,19.29,11.45,6.417,13.21,-1.306,10.69,13.89,8.887,3.462,14.55,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,20.98,17.23,13.07,13.31,12.12,14.87,9.474,3.045,7.775,-3.643,8.102,10.13,6.979,3.388,9.605,6.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,15.86,13.48,10.17,13.57,8.184,12.23,7.11,-1.02,0.8738,-2.327,4.616,6.329,4.717,2.846,6.159,2.278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,16.16,13.3,18.32,21.27,18.42,19.18,12.5,5.276,6.336,-2.176,7.397,10.32,6.893,2.247,9.969,4.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
