%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other.1,Other.2,Other.3,Other.4,Other.5,Other.6,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other.7,Timestamp (Formatted),Annotations
1,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T0
2,24.72,18.54,27.89,23.7,27.59,18.89,25.59,18.49,21.57,10.75,26.04,11.14,24.42,15.63,20.87,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,39.52,33.63,37.47,33.16,36.98,27.31,26.39,13.59,32.36,13.16,20.02,7.253,22.18,11.98,14.58,10.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,31.12,32.14,28.66,29.7,28.18,27.41,13.1,9.431,27.93,12.21,10.88,7.173,13.87,6.677,6.433,5.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,17.32,23.52,19.09,26.62,18.41,26.19,4.016,14.28,20.89,14.43,11.88,13.71,12.59,7.993,8.401,7.241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,14.81,20.33,11.67,26.6,10.71,23.59,-0.2641,12.35,17.8,15.33,6.162,11.82,7.182,5.628,4.427,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,5.836,15.85,0.9654,29.03,0.7177,20.48,-4.215,9.114,10.3,9.592,1.649,13.07,3.264,7.079,2.881,7.283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0.3604,18.03,3.701,35.46,4.075,24.5,0.4696,8.829,8.706,9.283,8.182,21.29,9.627,15.26,10.72,16.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,12.24,25.8,12.69,28.76,11.58,26.39,5.847,3.551,17.86,18.26,4.086,13.84,6.535,9.149,2.237,4.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,-1.942,12.38,-1.98,6.536,-4.134,11.47,-16.08,-0.9055,7.958,11.58,-23.43,-0.871,-16.67,-8.098,-25.46,-13.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,-32.13,-3.408,-12.57,4.042,-13.05,2.982,-37.88,2.023,-14.98,-4.823,-41.23,2.574,-25.66,-6.229,-33.39,-8.449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,-10.03,13.99,8.382,26.53,8.976,22.66,-14.34,9.72,-6.716,6.746,-21.23,13.65,-0.907,12.25,-8.693,6.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,31.61,37.65,26.55,41.08,26.66,45.29,19.65,20.65,23.16,33.3,11.53,18.05,24.3,23.05,15.88,15.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,28.37,35.68,25.51,36.46,25.11,44.55,18.94,22.95,34.56,37.81,17.31,16.16,20.53,21.16,10.89,12.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
