%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other.1,Other.2,Other.3,Other.4,Other.5,Other.6,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other.7,Timestamp (Formatted),Annotations
1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T0
2,-14.03,-9.109,-12.99,-7.889,-12.37,-10.07,-12.67,-6.717,-16.12,-11.91,-10.21,-5.325,-7.814,-4.688,-5.398,-3.287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,-14.45,-7.843,-14.17,-5.425,-12.56,-7.89,-9.583,-4.611,-13.57,-9.886,-10.3,-3.825,-8.486,-4.878,-7.4,-3.818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,-16.2,-9.332,-18.53,-7.096,-15.92,-9.463,-11.22,-6.135,-14.93,-11.4,-12.24,-4.67,-14.29,-9.031,-10.95,-6.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,-17.78,-10.86,-21.82,-11.72,-20.94,-14.99,-15.06,-6.399,-22.85,-17.16,-11.84,-4.002,-17.72,-11.14,-9.098,-4.911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,-12.53,-7.716,-17.46,-11.8,-19.02,-14.94,-9.599,-2.389,-23.25,-16.07,-5.957,-0.7496,-12.03,-7.288,-4.126,-0.7141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,-10.39,-6.885,-16.08,-11.61,-16.53,-12.05,-6.906,-4.05,-21.41,-13.94,-4.876,-2.23,-9.012,-5.753,-5.22,-2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,-9.524,-4.192,-16.28,-9.334,-14.0,-7.119,-8.38,-3.827,-17.96,-11.45,-4.609,-1.933,-7.848,-4.851,-4.874,-3.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,-5.814,-1.187,-15.79,-6.71,-11.71,-4.231,-7.257,0.4814,-12.79,-6.989,-3.451,0.7315,-5.142,-2.737,-3.691,-1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,-3.974,-2.128,-14.13,-6.669,-10.58,-4.258,-4.513,0.2712,-11.71,-5.805,-4.955,0.367,-3.705,-1.375,-6.776,-2.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,-3.441,-0.3283,-6.628,-4.608,-7.074,-1.07,-2.676,-0.8204,-9.743,-5.721,-4.135,1.47,-2.076,0.4413,-5.303,-0.7902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
