%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other.1,Other.2,Other.3,Other.4,Other.5,Other.6,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other.7,Timestamp (Formatted),Annotations
1,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T0
2,15.1,18.52,20.76,30.04,12.78,16.61,33.03,20.81,18.12,12.76,15.84,13.45,-3.25,5.431,4.317,9.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,13.28,12.18,15.67,13.97,-8.143,-2.274,-26.68,34.86,2.637,6.681,-7.466,6.649,-13.96,-1.264,3.714,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,3.885,-3.1,10.77,-4.573,-17.92,-17.93,-15.9,20.71,-15.43,-13.76,-19.98,-11.01,-28.21,-22.3,-12.76,3.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,7.028,3.151,12.8,5.187,-7.335,-9.09,14.87,8.926,-15.24,-26.35,-27.01,-30.58,-43.9,-39.83,-39.37,-33.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,2.114,3.39,-0.9543,3.871,-20.23,-14.42,-42.02,-8.57,-23.45,-34.39,-64.8,-54.38,-64.64,-53.32,-64.84,-68.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,-8.108,-11.74,-3.694,-9.271,-30.84,-26.97,-50.9,-44.93,-38.66,-51.38,-74.08,-66.08,-70.72,-65.82,-80.97,-88.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,7.55,-0.2336,17.82,-2.493,-11.26,-16.56,-25.86,-34.45,-33.14,-60.78,-42.09,-61.14,-54.97,-64.85,-75.79,-88.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,12.81,13.36,21.3,5.91,-6.706,-12.61,-40.66,2.218,-20.28,-54.65,-43.96,-61.79,-52.38,-64.11,-59.16,-76.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,-2.422,-0.8124,20.75,7.735,-14.78,-22.47,-3.139,-2.474,-22.89,-50.38,-62.72,-60.57,-64.29,-73.22,-54.5,-70.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
