%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other,Other,Other,Other,Other,Other,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other,Timestamp (Formatted),Annotations
1,0,0,-0,0,0,-0,0,-0,-0,0,0,0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T0
2,29.33,10.12,15.77,16.07,20.16,29.28,13.97,13.46,13.67,5.35,13.98,16.22,7.627,4.087,6.105,5.251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,51.69,22.37,17.81,19.69,26,34.71,21.05,18.98,10.02,7.052,9.947,17.15,10.18,3.296,0.6377,6.511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,27.21,25.79,16.87,16.04,22.46,19.4,17.99,15.1,9.325,2.637,-21.73,-1.12,4.436,-5.112,-9.129,-2.474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,-1.438,20.49,16.41,13.01,10.45,9.936,11.82,9.636,13.49,-0.2933,-24.11,-1.238,0.9026,-10.42,-2.44,-6.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,11.74,16.14,13.64,12.41,8.928,13.04,11.05,9.787,10.49,1.452,5.664,18.31,1.541,-8.852,11.49,-0.2157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,24.02,11.27,15.03,13.77,17.92,17.06,13.26,12.36,13.22,0.5544,10.8,22.89,-2.657,-9.663,13.14,1.687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,27.63,7.333,21.62,17.02,17.6,25.72,16.3,14.7,27.32,0.1517,11.66,24.42,-3.342,-9.261,11.65,0.3765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,47.43,15.19,27.99,21.16,33.11,43.07,24.26,21.13,36.9,6.641,23.2,29.92,6.148,-2.436,10.12,4.939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,56.23,29.83,27.26,19.23,47.46,52.9,29.96,26.29,26.31,10.48,14.58,21.4,11.83,0.4738,3.05,7.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,43.99,32.56,18.3,12.64,17.91,40.71,22.56,19.8,2.191,4.965,1.456,13.14,7.873,-2.911,1.026,6.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,33.43,23.32,14.25,14.88,2.282,22.97,12.94,11,3.281,1.121,1.841,16.71,5.619,-2.032,8.006,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
