%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other.1,Other.2,Other.3,Other.4,Other.5,Other.6,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other.7,Timestamp (Formatted),Annotations
1,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T0
2,-28.78,-11.79,-31.66,-24.16,-25.19,-28.36,15.91,21.49,-29.01,-44.2,37.06,-8.085,41.94,21.51,44.38,29.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,-36.03,-19.49,-87.96,-61.13,-87.95,-89.55,-26.91,-7.562,-48.4,-68.52,3.092,-61.35,13.25,-30.7,11.81,-33.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,-33.91,-17.03,-128.8,-70.43,-115.0,-106.5,-56.69,-26.74,-78.55,-91.77,-15.22,-90.51,16.22,-66.59,-2.911,-83.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,-21.62,-2.757,-102.9,-37.24,-65.79,-54.49,-28.06,-11.59,-58.93,-77.78,9.475,-83.33,64.07,-58.25,21.83,-83.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,-9.164,6.139,-70.39,-18.26,-34.03,-26.1,-11.97,-15.52,-4.244,-42.42,-2.257,-95.06,62.7,-70.25,7.389,-95.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,-16.99,-1.773,-89.28,-36.56,-63.07,-52.43,-35.65,-34.09,-10.76,-49.5,-43.72,-97.34,24.44,-81.5,-26.25,-88.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,-30.93,-13.55,-112.9,-50.83,-92.84,-82.94,-52.84,-32.48,-46.05,-68.32,-68.27,-66.33,-10.06,-68.68,-39.36,-53.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,-35.13,-16.54,-124.5,-52.61,-108.1,-98.78,-52.6,-25.73,-61.89,-77.39,-76.65,-47.17,-38.94,-62.63,-43.88,-39.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,-28.71,-9.885,-131.4,-53.82,-113.4,-99.05,-42.93,-27.3,-72.2,-89.04,-57.41,-34.19,-37.25,-49.25,-32.47,-31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,-23.42,-6.818,-124.4,-57.55,-114.1,-104.6,-38.83,-37.74,-70.66,-81.84,-30.58,-14.84,-16.92,-30.08,-19.34,-27.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
