%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other.1,Other.2,Other.3,Other.4,Other.5,Other.6,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other.7,Timestamp (Formatted),Annotations
1,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T0
2,-54.36,-5.926,-80.47,3.067,-51.87,-135.1,-50.85,-52.6,-44.5,-81.82,-37.2,-38.02,-41.3,-39.18,-20.5,-19.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,-53.36,76.48,-30.28,14.79,6.583,-78.7,-3.41,-5.192,-0.7829,-27.18,11.26,0.5394,4.356,5.169,7.018,7.482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,-3.649,138.0,-2.593,1.107,8.432,-32.24,4.773,8.755,21.15,0.4739,19.93,12.86,13.4,17.34,7.161,9.799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,-9.035,41.72,-14.14,-22.27,-2.227,-26.38,-6.417,1.047,5.409,-18.33,3.869,4.006,-1.627,6.136,-3.18,0.6383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,-88.27,-83.36,-6.272,-27.48,30.58,3.362,9.789,8.094,11.48,1.397,7.292,6.207,2.968,8.732,-3.469,-1.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,-69.97,-8.654,-25.39,-9.4,-15.91,-42.83,-16.28,-19.26,-3.921,-16.67,-14.21,-9.777,-17.8,-14.26,-17.35,-15.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,39.53,102.1,-36.56,2.716,-59.83,-96.34,-30.41,-21.3,-24.22,-52.58,-13.74,-10.34,-18.59,-18.81,-8.322,-8.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,13.5,18.6,-37.97,-35.26,-34.99,-87.38,-17.68,-11.1,-10.57,-39.64,0.0417,-6.472,-2.997,-9.448,4.464,-0.1547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,-91.29,-37.62,-62.57,-72.31,-37.02,-91.59,-33.21,-27.26,-13.03,-39.82,-13.57,-13.08,-13.68,-18.28,-4.908,-7.519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,-90.7,8.683,-51.71,-63.0,-41.96,-58.51,-34.08,-11.98,-24.37,-43.77,-12.17,-2.422,-16.32,-12.41,-5.868,-6.463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,-51.87,-25.4,-24.27,-28.5,-29.01,-12.48,-18.48,-3.118,-19.66,-24.83,-9.735,-4.812,-19.67,-12.14,-9.146,-12.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,-34.6,-22.69,-27.35,2.701,-31.86,-62.98,-19.64,-22.64,-28.16,-35.8,-20.31,-17.3,-32.19,-25.75,-19.56,-22.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,-62.68,-0.8877,-36.64,-59.1,-21.38,-83.17,-25.48,-19.45,-41.48,-53.83,-19.82,-14.23,-31.23,-24.75,-22.47,-21.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,-136.7,-85.89,-60.26,-133.6,-18.29,-17.86,-32.12,-16.53,-42.83,-40.34,-16.76,-10.79,-23.51,-17.77,-12.45,-13.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,-69.21,-30.93,-83.33,-29.15,-57.08,-44.88,-32.0,-20.3,-33.19,-30.77,-10.32,-4.314,-11.43,-10.31,6.376,2.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,56.45,102.1,-65.87,64.4,-79.97,-134.0,-31.69,-14.62,-22.21,-47.16,-12.13,-7.021,-11.64,-12.83,2.717,-2.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,-28.27,24.88,-29.43,-18.35,-47.93,-113.1,-29.55,-9.658,-24.96,-55.44,-17.62,-18.7,-18.42,-19.61,-8.996,-13.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,-107.0,-33.48,-13.14,-42.24,-16.95,-57.27,-13.55,-5.892,-18.35,-30.13,-4.115,-17.49,-9.048,-15.07,-7.299,-10.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,-38.38,56.25,-24.35,14.53,-12.82,-59.85,-14.0,-12.17,-5.733,-23.21,-3.456,-15.86,-11.36,-16.53,-12.82,-12.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,-83.09,48.21,-28.34,-26.76,12.57,-19.82,-18.98,-8.281,-9.523,-39.72,-11.66,-7.555,-16.46,-10.74,-7.345,-3.463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
